Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.0,None,2018,287.0,None,29.5,60.5,69.5,868,0.0,5.0,-0.4,1.0,0.4,0.8,-0.2,2680487.0
Ryan Armour,109.0,71.0,2018,282.0,68.0,29.0,60.0,70.5,"1,006",1.0,3.0,-0.2,0.2,-0.2,0.2,-0.0,2485203.0
Chez Reavie,93.0,71.0,2018,282.0,68.0,29.0,62.0,70.0,"1,020",0.0,3.0,-0.0,0.6,-0.0,0.4,-0.2,2700018.0
Ryan Moore,78.0,71.0,2018,287.0,68.0,29.0,64.0,70.0,795,0.0,5.0,-0.4,0.8,0.4,0.4,0.2,1986608.0
Brian Stuard,103.0,71.0,2018,277.0,67.0,29.0,59.0,71.0,421,0.0,3.0,-0.0,0.0,-0.4,-0.0,-0.0,1089763.0
Brian Gay,103.0,71.0,2018,282.0,64.0,28.0,63.0,70.0,880,0.0,6.0,0.4,0.4,-0.2,-0.0,0.2,2152501.0
Kyle Stanley,93.0,71.0,2018,292.0,71.0,29.5,54.5,70.0,"1,198",0.0,5.0,-0.0,0.6,0.2,0.2,-0.2,3916001.0
Emiliano Grillo,94.0,68.0,2018,292.0,68.0,29.0,61.0,70.0,901,0.0,5.0,0.4,1.0,0.2,0.2,-0.2,2493163.0
Russell Henley,77.0,68.0,2018,292.0,68.0,29.5,54.0,70.0,569,0.0,3.0,-0.0,0.4,-0.0,0.4,-0.2,1516438.0
Jim Furyk,50.0,68.0,2018,277.0,63.0,28.5,62.5,70.0,291,0.0,2.0,0.2,0.4,-0.4,-0.0,0.2,660010.0
Steve Wheatcroft,60.0,68.0,2018,287.0,66.0,29.0,61.0,71.5,138,0.0,None,-0.2,-0.4,-0.0,-0.2,-0.4,309656.0
Kevin Streelman,94.0,68.0,2018,292.0,71.0,29.5,60.5,70.0,673,0.0,5.0,-0.4,0.6,0.4,0.4,-0.0,1523642.0
C.T. Pan,104.0,68.0,2018,292.0,71.0,29.5,56.5,70.0,693,0.0,None,-0.2,0.4,0.2,0.2,-0.0,1881787.0
David Lingmerth,82.0,68.0,2018,282.0,63.0,28.5,58.5,71.0,274,0.0,None,0.2,-0.2,-0.0,-0.2,-0.2,616758.0
Keegan Bradley,98.0,65.0,2018,297.0,69.0,29.5,56.5,70.0,872,0.0,4.0,-0.4,0.6,0.2,0.8,-0.0,4069464.0
Rafa Cabrera Bello,75.0,65.0,2018,292.0,70.0,29.0,57.5,69.5,784,0.0,4.0,0.2,1.0,0.2,0.4,-0.0,2449869.0
Billy Horschel,86.0,65.0,2018,292.0,71.0,29.0,58.0,70.0,960,1.0,3.0,0.2,1.0,0.4,0.2,-0.2,4315200.0
Russell Knox,94.0,65.0,2018,287.0,69.0,29.5,59.0,70.5,585,0.0,3.0,-0.2,0.2,-0.0,0.2,-0.0,1424030.0
Ben Crane,65.0,65.0,2018,277.0,64.0,28.5,63.0,71.0,267,0.0,None,0.2,0.0,-0.4,-0.2,-0.0,620646.0
Vaughn Taylor,83.0,65.0,2018,282.0,67.0,29.0,59.5,70.5,445,0.0,3.0,-0.2,0.2,-0.2,0.2,-0.2,965691.0
Brian Harman,94.0,65.0,2018,287.0,67.0,29.0,56.5,70.5,"1,056",0.0,8.0,0.2,0.2,-0.0,-0.2,-0.2,2733463.0
Sam Ryder,82.0,65.0,2018,297.0,72.0,29.5,56.0,70.5,442,0.0,3.0,-0.4,0.0,0.2,0.2,-0.2,1046166.0
"Ted Potter, Jr.",87.0,65.0,2018,282.0,63.0,28.0,57.5,71.0,744,1.0,None,-0.0,-0.2,-0.2,-0.2,-0.0,1976198.0
Austin Cook,107.0,65.0,2018,292.0,66.0,28.5,62.0,70.0,"1,060",1.0,3.0,0.2,0.4,-0.0,-0.2,-0.0,2448920.0
Tyler Duncan,97.0,65.0,2018,292.0,69.0,30.0,52.5,71.0,457,0.0,2.0,-0.6,0.0,0.2,0.4,-0.2,944021.0
David Hearn,66.0,65.0,2018,282.0,68.0,29.5,55.5,71.0,315,0.0,2.0,-0.2,-0.2,-0.2,0.2,-0.2,622383.0
Alex Cejka,77.0,65.0,2018,282.0,63.0,28.5,64.0,70.5,502,0.0,2.0,-0.0,0.2,-0.2,-0.2,0.4,1198541.0
Ian Poulter,73.0,65.0,2018,292.0,67.0,28.5,57.0,70.5,"1,030",1.0,4.0,0.2,0.8,-0.0,0.4,-0.0,2714450.0
Joel Dahmen,93.0,65.0,2018,292.0,68.0,29.0,63.0,70.5,676,0.0,3.0,-0.4,0.2,0.2,0.2,-0.2,1476838.0
Kevin Kisner,89.0,65.0,2018,287.0,65.0,28.5,60.0,70.5,971,0.0,4.0,0.4,0.0,-0.2,-0.4,-0.2,2972285.0
J.J. Henry,81.0,65.0,2018,287.0,70.0,30.0,54.5,71.0,239,0.0,None,-0.6,-0.2,-0.0,0.2,-0.2,482052.0
J.J. Spaun,85.0,65.0,2018,297.0,69.0,29.5,55.5,70.5,849,0.0,4.0,-0.2,0.2,0.2,0.4,-0.4,1978906.0
Justin Rose,70.0,65.0,2018,302.0,69.0,28.5,63.0,None,"1,991",2.0,8.0,0.4,1.8,0.4,0.4,0.4,8130678.0
Kelly Kraft,94.0,65.0,2018,287.0,63.0,28.5,58.5,71.0,627,0.0,3.0,-0.0,-0.4,-0.4,-0.0,-0.2,1496253.0
Conrad Shindler,60.0,65.0,2018,287.0,66.0,29.0,60.0,71.0,92,0.0,None,-0.2,-0.4,-0.0,-0.2,-0.4,187399.0
Scott Piercy,84.0,65.0,2018,292.0,69.0,29.5,55.5,70.5,802,1.0,2.0,-0.6,0.2,0.2,0.4,-0.0,1882337.0
Adam Hadwin,92.0,65.0,2018,287.0,68.0,29.0,58.5,70.5,638,0.0,3.0,-0.0,0.4,-0.0,-0.0,0.2,1932488.0
Ben Silverman,90.0,65.0,2018,287.0,64.0,28.5,57.0,71.0,323,0.0,2.0,0.2,-0.4,-0.0,-0.4,-0.2,793140.0
Satoshi Kodaira,51.0,65.0,2018,292.0,60.0,29.5,51.0,72.0,600,1.0,None,-0.8,-2.0,-0.0,-0.4,-1.0,1471462.0
Rickie Fowler,74.0,65.0,2018,297.0,69.0,28.5,63.0,69.0,"1,302",0.0,4.0,0.2,1.2,0.2,0.4,0.2,4235237.0
Xinjun Zhang,81.0,65.0,2018,297.0,67.0,29.5,58.0,71.0,195,0.0,None,-0.6,-0.8,-0.0,-0.4,-0.2,420377.0
Kiradech Aphibarnrat,51.0,65.0,2018,292.0,62.0,28.5,55.5,70.5,None,0.0,None,-0.0,0.4,0.4,-0.4,-0.0,0.0
Pat Perez,82.0,65.0,2018,287.0,67.0,29.0,55.5,70.5,"1,116",1.0,4.0,-0.0,-0.2,-0.2,-0.2,-0.0,2962641.0
Lucas Glover,65.0,65.0,2018,297.0,67.0,29.5,59.5,71.0,324,0.0,None,-0.2,0.2,0.4,-0.2,-0.2,789382.0
Richy Werenski,98.0,65.0,2018,287.0,66.0,29.0,56.0,71.0,498,0.0,2.0,-0.2,-0.2,-0.0,-0.2,-0.0,1081283.0
Hunter Mahan,67.0,65.0,2018,292.0,68.0,29.0,58.5,71.0,234,0.0,None,0.2,0.2,0.4,-0.2,-0.6,457337.0
Francesco Molinari,73.0,65.0,2018,297.0,70.0,29.5,58.5,69.5,"1,682",2.0,4.0,-0.6,1.0,0.6,0.4,0.2,5065842.0
Fabián Gómez,88.0,62.0,2018,287.0,67.0,29.0,58.5,71.0,221,0.0,None,-0.0,-0.2,-0.2,-0.2,-0.2,437032.0
